pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
65239,30.88706,75.92794,6.65,0.38,1.03,0.89,0.525,0.768,7.93,0.367,7.41,6.35,0.00,indeterminate
65240,30.88706,75.92894,6.29,0.37,1.00,0.89,0.528,0.750,7.87,0.360,7.02,5.99,0.00,indeterminate
65241,30.88706,75.92994,6.50,0.38,1.05,0.90,0.534,0.764,7.84,0.355,7.26,6.20,0.00,indeterminate
65242,30.88706,75.93094,6.98,0.39,1.02,0.91,0.529,0.785,7.94,0.377,7.73,6.69,0.00,indeterminate
65243,30.88706,75.93194,7.28,0.40,1.21,0.94,0.546,0.797,7.99,0.421,8.05,7.01,0.00,indeterminate
65244,30.88706,75.93294,7.08,0.40,1.16,0.93,0.548,0.787,8.00,0.416,7.85,6.79,0.00,indeterminate
65245,30.88706,75.93394,7.09,0.40,1.17,0.94,0.554,0.786,8.04,0.425,7.88,6.81,0.00,indeterminate
65246,30.88706,75.93494,7.14,0.41,1.17,0.94,0.552,0.786,8.08,0.416,7.89,6.87,0.00,indeterminate
65247,30.88706,75.93594,7.11,0.41,1.23,0.95,0.554,0.783,8.12,0.366,7.85,6.85,0.00,indeterminate
65248,30.88706,75.93694,7.34,0.42,1.29,0.96,0.559,0.792,8.17,0.380,8.10,7.09,0.00,indeterminate
65249,30.88706,75.93794,7.39,0.42,1.37,0.98,0.561,0.791,8.25,0.374,8.16,7.14,0.00,indeterminate
65250,30.88706,75.93894,7.66,0.43,1.49,1.01,0.565,0.800,8.31,0.358,8.45,7.42,0.00,indeterminate
65251,30.88706,75.93994,7.19,0.42,1.50,1.02,0.564,0.778,8.34,0.413,7.96,6.97,0.00,indeterminate
65252,30.88706,75.94094,6.76,0.43,1.56,1.04,0.568,0.755,8.37,0.436,7.58,6.53,0.00,indeterminate
65253,30.88706,75.94194,6.88,0.43,1.55,1.04,0.572,0.761,8.40,0.465,7.77,6.63,0.00,indeterminate
65254,30.88706,75.94294,6.63,0.44,1.58,1.05,0.569,0.745,8.44,0.465,7.50,6.38,0.00,indeterminate
65255,30.88706,75.94394,6.62,0.44,1.68,1.07,0.571,0.742,8.50,0.450,7.54,6.36,0.00,indeterminate
65256,30.88706,75.94494,6.16,0.44,1.60,1.07,0.560,0.713,8.51,0.427,7.03,5.90,0.00,indeterminate
65257,30.88706,75.94594,6.00,0.44,1.50,1.06,0.551,0.705,8.43,0.403,6.85,5.73,0.00,indeterminate
65258,30.88706,75.94694,5.51,0.44,1.51,1.07,0.547,0.670,8.40,0.419,6.27,5.28,0.00,indeterminate
65259,30.88706,75.94794,5.85,0.44,1.59,1.08,0.549,0.694,8.45,0.431,6.69,5.59,0.00,indeterminate
65260,30.88706,75.94894,5.90,0.45,1.61,1.10,0.537,0.694,8.52,0.459,6.60,5.69,0.00,indeterminate
65261,30.88706,75.94994,4.97,0.45,1.51,1.09,0.523,0.614,8.54,0.412,5.60,4.75,0.00,indeterminate
65262,30.88706,75.95094,5.41,0.47,1.54,1.11,0.528,0.650,8.62,0.333,6.15,5.16,0.00,indeterminate
65263,30.88706,75.95194,4.51,0.47,1.51,1.13,0.505,0.557,8.70,0.313,5.14,4.26,0.00,indeterminate
65264,30.88706,75.95294,5.23,0.46,1.61,1.13,0.518,0.632,8.64,0.309,5.89,4.99,0.00,indeterminate
65265,30.88706,75.95394,5.38,0.47,1.46,1.12,0.517,0.643,8.68,0.336,6.12,5.10,0.00,indeterminate
65266,30.88706,75.95494,6.18,0.46,1.50,1.12,0.547,0.704,8.71,0.381,6.95,5.90,0.00,indeterminate
65267,30.88706,75.95594,5.49,0.47,1.64,1.16,0.540,0.651,8.73,0.465,6.25,5.23,0.00,indeterminate
65268,30.88706,75.95694,6.52,0.48,1.73,1.19,0.545,0.719,8.84,0.465,7.35,6.27,0.00,indeterminate
65269,30.88706,75.95794,6.05,0.48,1.75,1.19,0.549,0.686,8.90,0.422,6.95,5.76,0.00,indeterminate
65270,30.88706,75.95894,6.40,0.48,1.84,1.20,0.560,0.712,8.86,0.343,7.32,6.14,0.00,indeterminate
65271,30.88706,75.95994,5.89,0.49,2.17,1.25,0.566,0.675,8.90,0.224,6.89,5.62,0.00,indeterminate
65300,30.88706,75.98894,4.45,0.57,1.56,1.20,0.535,0.482,10.00,0.335,5.34,4.04,0.00,indeterminate
65301,30.88706,75.98994,5.82,0.54,1.86,1.19,0.555,0.615,10.02,0.647,6.66,5.47,0.00,indeterminate
65302,30.88706,75.99094,9.75,0.54,1.95,1.19,0.539,0.815,10.08,0.800,10.28,9.51,0.00,indeterminate
65303,30.88706,75.99194,10.59,0.55,2.04,1.22,0.535,0.836,10.17,0.828,11.08,10.35,0.00,indeterminate
65304,30.88706,75.99294,9.72,0.55,1.14,1.12,0.495,0.811,10.19,0.842,10.13,9.43,0.00,indeterminate
65305,30.88706,75.99394,9.40,0.55,1.28,1.14,0.509,0.800,10.22,0.846,9.86,9.12,0.00,indeterminate
65306,30.88706,75.99494,9.19,0.55,1.32,1.15,0.494,0.790,10.27,0.725,9.53,8.94,0.00,indeterminate
65307,30.88706,75.99594,8.77,0.55,1.42,1.17,0.504,0.771,10.35,0.380,9.13,8.51,0.00,indeterminate
65308,30.88706,75.99694,9.03,0.55,1.68,1.19,0.523,0.780,10.40,0.364,9.46,8.79,0.00,indeterminate
65309,30.88706,75.99794,8.87,0.55,1.28,1.16,0.507,0.772,10.47,0.324,9.38,8.56,0.00,indeterminate
65310,30.88706,75.99894,9.22,0.56,1.37,1.17,0.502,0.784,10.51,0.312,9.60,8.98,0.00,indeterminate
65311,30.88706,75.99994,10.18,0.56,1.24,1.16,0.496,0.813,10.59,0.274,10.60,9.94,0.00,indeterminate
65312,30.88706,76.00094,9.41,0.57,1.54,1.22,0.493,0.786,10.65,0.156,9.64,9.24,0.00,indeterminate
65321,30.88706,76.00994,9.24,0.60,1.33,1.21,0.422,0.763,11.13,0.355,9.44,9.08,0.00,indeterminate
65322,30.88706,76.01094,9.08,0.58,1.28,1.19,0.447,0.762,10.99,0.730,9.21,8.93,0.00,indeterminate
65323,30.88706,76.01194,9.22,0.58,1.38,1.18,0.439,0.765,11.07,0.732,9.14,9.13,0.00,indeterminate
65324,30.88706,76.01294,9.79,0.57,1.21,1.16,0.440,0.785,11.10,0.747,9.78,9.70,0.00,indeterminate
65325,30.88706,76.01394,9.89,0.57,1.32,1.17,0.431,0.788,11.09,0.856,9.73,9.83,0.00,indeterminate
65326,30.88706,76.01494,11.12,0.57,1.38,1.18,0.434,0.825,11.09,0.916,10.96,11.08,0.00,indeterminate
65327,30.88706,76.01594,11.38,0.56,1.29,1.16,0.429,0.832,11.09,0.923,11.31,11.31,0.00,indeterminate
65328,30.88706,76.01694,10.66,0.56,1.22,1.14,0.398,0.813,11.06,0.928,10.52,10.59,0.00,indeterminate
65329,30.88706,76.01794,10.29,0.55,1.29,1.15,0.413,0.803,11.05,0.935,10.15,10.23,0.00,indeterminate
65330,30.88706,76.01894,8.39,0.56,1.13,1.13,0.453,0.732,11.01,0.759,8.60,8.26,0.00,indeterminate
65331,30.88706,76.01994,7.86,0.55,1.45,1.17,0.483,0.704,11.04,0.414,8.03,7.77,0.00,indeterminate
65332,30.88706,76.02094,8.18,0.55,1.56,1.17,0.489,0.721,11.03,0.532,8.31,8.11,0.00,indeterminate
65333,30.88706,76.02194,8.82,0.56,1.59,1.18,0.459,0.748,11.09,0.573,8.74,8.78,0.00,indeterminate
65334,30.88706,76.02294,8.41,0.56,1.67,1.19,0.447,0.732,11.01,0.538,8.36,8.32,0.00,indeterminate
65335,30.88706,76.02394,7.21,0.56,1.68,1.18,0.444,0.667,10.99,0.495,7.17,7.12,0.00,indeterminate
65336,30.88706,76.02494,5.69,0.56,1.62,1.18,0.400,0.556,10.95,0.279,5.61,5.56,0.00,indeterminate
65343,30.88706,76.03194,6.38,0.53,1.16,1.05,0.431,0.614,10.93,0.174,6.69,6.23,0.00,indeterminate
65344,30.88706,76.03294,5.94,0.57,1.64,1.12,0.391,0.572,11.08,0.231,5.59,5.92,0.00,indeterminate
65345,30.88706,76.03394,6.88,0.58,1.66,1.12,0.359,0.634,11.26,0.283,6.50,6.82,0.00,indeterminate
65346,30.88706,76.03494,8.81,0.56,1.41,1.07,0.365,0.743,11.20,0.279,8.60,8.75,0.00,indeterminate
65347,30.88706,76.03594,6.51,0.56,1.44,1.13,0.381,0.609,11.25,0.243,6.37,6.38,0.00,indeterminate
65348,30.88706,76.03694,6.79,0.55,1.53,1.10,0.500,0.628,11.33,0.181,6.73,6.71,0.00,indeterminate
65360,30.88706,76.04894,9.41,0.57,0.94,1.04,0.399,0.762,11.40,0.184,10.00,9.16,0.00,indeterminate
65361,30.88706,76.04994,10.81,0.61,1.47,1.16,0.370,0.801,11.64,0.193,10.96,10.59,0.00,indeterminate
65362,30.88706,76.05094,11.72,0.56,1.11,1.03,0.460,0.834,11.34,0.207,12.31,11.44,0.00,indeterminate
65377,30.88606,75.66494,-9.75,0.39,0.58,0.89,0.460,0.790,10.97,0.349,-9.74,-9.61,0.67,indeterminate
65378,30.88606,75.66594,-12.15,0.35,0.28,0.74,0.958,0.867,10.36,0.354,-11.18,-12.43,0.83,inelastic_candidate
