pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
68570,30.87995,76.05022,5.58,0.28,1.25,0.66,0.460,0.648,8.68,0.183,7.01,5.36,0.33,indeterminate
68632,30.87895,75.71122,3.56,0.27,1.15,0.69,0.130,0.589,6.25,0.186,2.80,3.50,0.50,indeterminate
68642,30.87895,75.72122,2.25,0.24,1.07,0.62,0.174,0.411,5.68,0.164,1.50,2.21,0.50,indeterminate
68672,30.87895,75.75122,0.48,0.19,1.59,0.66,0.187,0.074,5.05,0.188,0.21,0.53,0.50,elastic_dominant
68673,30.87895,75.75222,4.41,0.26,0.61,0.52,0.025,0.758,5.24,0.202,3.94,4.77,0.33,indeterminate
68674,30.87895,75.75322,0.32,0.26,0.80,0.55,0.129,0.026,5.18,0.212,-0.10,0.74,0.50,elastic_dominant
68687,30.87895,75.76622,4.62,0.24,0.39,0.45,0.022,0.799,4.86,0.176,4.14,4.98,0.33,indeterminate
68688,30.87895,75.76722,5.22,0.23,0.49,0.45,0.030,0.849,4.61,0.241,4.79,5.59,0.33,indeterminate
68689,30.87895,75.76822,5.51,0.23,0.57,0.46,0.020,0.867,4.54,0.287,5.11,5.92,0.33,indeterminate
68690,30.87895,75.76922,5.52,0.22,0.55,0.45,0.026,0.871,4.46,0.319,5.17,5.94,0.33,indeterminate
68691,30.87895,75.77022,5.66,0.22,0.55,0.45,0.040,0.880,4.39,0.482,5.32,6.07,0.33,indeterminate
68692,30.87895,75.77122,6.01,0.21,0.54,0.44,0.076,0.895,4.31,0.579,5.68,6.42,0.33,indeterminate
68693,30.87895,75.77222,6.09,0.21,0.61,0.44,0.101,0.901,4.24,0.634,5.77,6.50,0.33,indeterminate
68694,30.87895,75.77322,6.01,0.21,0.59,0.44,0.100,0.902,4.16,0.835,5.69,6.41,0.33,indeterminate
68695,30.87895,75.77422,6.16,0.20,0.58,0.43,0.106,0.911,4.04,0.797,5.88,6.57,0.17,indeterminate
68696,30.87895,75.77522,6.61,0.19,0.67,0.43,0.142,0.928,3.85,0.775,6.36,7.02,0.00,indeterminate
68697,30.87895,75.77622,6.67,0.18,0.70,0.43,0.153,0.930,3.84,0.789,6.45,7.07,0.00,indeterminate
68698,30.87895,75.77722,6.90,0.18,0.76,0.44,0.169,0.935,3.81,0.553,6.69,7.31,0.00,indeterminate
68699,30.87895,75.77822,7.06,0.18,0.78,0.43,0.178,0.940,3.76,0.580,6.87,7.48,0.00,indeterminate
68700,30.87895,75.77922,7.25,0.17,0.81,0.43,0.186,0.943,3.74,0.567,7.08,7.66,0.00,indeterminate
