pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
105054,31.43883,74.54328,3.16,1.56,2.63,2.12,0.519,0.078,14.71,0.262,6.32,-5.15,0.00,indeterminate
105055,31.43883,74.54428,0.84,1.50,3.24,2.22,0.558,0.029,14.93,0.311,2.40,-6.18,0.00,elastic_dominant
105056,31.43883,74.54528,3.01,1.53,2.76,2.21,0.552,0.070,15.33,0.387,4.21,-3.57,0.00,indeterminate
105057,31.43883,74.54628,1.81,1.56,3.32,2.23,0.561,0.046,15.19,0.363,4.73,-6.88,0.00,indeterminate
105058,31.43883,74.54728,-0.46,1.54,1.79,1.83,0.671,0.008,14.81,0.309,1.59,-7.85,0.00,elastic_dominant
105059,31.43883,74.54828,3.24,1.61,0.96,1.92,0.317,0.062,14.77,0.238,1.15,1.60,0.00,indeterminate
105065,31.43783,74.15328,-0.65,1.05,0.19,1.51,0.082,0.003,15.02,0.157,1.80,-1.93,1.00,indeterminate
105086,31.43783,74.17428,1.94,1.00,1.82,1.64,0.080,0.028,14.24,0.188,4.92,1.44,0.50,indeterminate
105087,31.43783,74.17528,1.48,0.92,1.66,1.54,0.061,0.020,13.71,0.256,4.27,0.88,0.50,indeterminate
105088,31.43783,74.17628,1.71,0.85,1.43,1.48,0.026,0.024,13.29,0.291,3.79,1.65,0.50,indeterminate
105089,31.43783,74.17728,1.88,0.82,1.54,1.48,0.017,0.029,13.17,0.313,4.02,1.64,0.50,indeterminate
105090,31.43783,74.17828,2.06,0.81,1.50,1.50,0.997,0.034,13.08,0.329,4.20,1.62,0.50,indeterminate
105091,31.43783,74.17928,2.42,0.78,1.59,1.49,0.995,0.046,12.99,0.338,4.63,1.84,0.00,indeterminate
105092,31.43783,74.18028,1.93,0.81,1.50,1.53,0.986,0.030,13.16,0.321,4.40,1.14,0.50,indeterminate
105093,31.43783,74.18128,1.94,0.82,1.59,1.54,0.984,0.031,13.26,0.282,3.80,1.85,0.50,indeterminate
105094,31.43783,74.18228,2.34,0.79,1.52,1.52,0.983,0.043,13.10,0.245,4.45,1.95,0.50,indeterminate
105095,31.43783,74.18328,2.46,0.73,1.80,1.48,0.996,0.050,12.86,0.256,4.18,2.61,0.50,indeterminate
105096,31.43783,74.18428,2.26,0.72,1.81,1.50,0.958,0.045,12.72,0.272,4.36,1.66,0.50,indeterminate
105097,31.43783,74.18528,2.01,0.71,1.91,1.50,0.952,0.038,12.68,0.289,3.60,1.91,0.50,indeterminate
105098,31.43783,74.18628,2.20,0.74,1.82,1.52,0.961,0.042,12.80,0.385,4.00,2.05,0.50,indeterminate
105099,31.43783,74.18728,2.26,0.79,1.93,1.59,0.958,0.044,12.92,0.470,4.18,2.10,0.50,indeterminate
105100,31.43783,74.18828,2.06,0.77,1.85,1.57,0.960,0.038,12.90,0.445,4.24,1.54,0.50,indeterminate
105101,31.43783,74.18928,1.61,0.74,1.69,1.50,0.967,0.026,12.69,0.377,3.28,1.79,0.50,indeterminate
105102,31.43783,74.19028,2.36,0.71,1.92,1.46,0.980,0.050,12.56,0.256,3.99,2.71,0.50,indeterminate
105103,31.43783,74.19128,2.43,0.72,1.95,1.48,0.979,0.052,12.61,0.249,4.42,2.34,0.50,indeterminate
105104,31.43783,74.19228,3.04,0.76,1.93,1.52,0.984,0.074,12.71,0.243,4.82,3.37,0.50,indeterminate
105105,31.43783,74.19328,2.76,0.78,1.97,1.53,0.992,0.063,12.74,0.278,4.79,3.01,0.50,indeterminate
105106,31.43783,74.19428,3.04,0.76,1.97,1.49,0.987,0.075,12.58,0.519,4.67,3.65,0.50,indeterminate
105107,31.43783,74.19528,3.14,0.72,1.93,1.42,0.992,0.082,12.36,0.438,4.80,3.71,0.50,indeterminate
105108,31.43783,74.19628,2.60,0.71,1.85,1.39,0.004,0.060,12.32,0.445,4.15,3.41,0.50,indeterminate
105109,31.43783,74.19728,2.84,0.70,1.91,1.37,0.009,0.070,12.28,0.410,4.27,3.84,0.50,indeterminate
105110,31.43783,74.19828,2.84,0.70,1.85,1.34,0.022,0.071,12.14,0.382,4.56,3.68,0.50,indeterminate
105111,31.43783,74.19928,2.26,0.74,1.66,1.39,0.014,0.046,12.26,0.401,3.88,3.24,0.50,indeterminate
105112,31.43783,74.20028,2.21,0.76,1.67,1.41,0.011,0.045,12.26,0.429,3.77,3.28,0.50,indeterminate
105113,31.43783,74.20128,2.19,0.76,1.62,1.41,0.014,0.044,12.20,0.394,3.85,3.20,0.50,indeterminate
105114,31.43783,74.20228,2.36,0.77,1.53,1.37,0.038,0.051,12.11,0.382,4.10,3.48,0.50,indeterminate
105115,31.43783,74.20328,2.19,0.77,1.54,1.38,0.036,0.045,12.04,0.408,4.09,3.12,0.50,indeterminate
105116,31.43783,74.20428,2.28,0.75,1.57,1.35,0.040,0.050,11.87,0.427,4.24,3.13,0.50,indeterminate
105117,31.43783,74.20528,2.30,0.73,1.57,1.33,0.040,0.051,11.75,0.482,4.30,3.06,0.50,indeterminate
105118,31.43783,74.20628,2.24,0.75,1.62,1.34,0.052,0.050,11.73,0.517,4.21,3.13,0.50,indeterminate
105119,31.43783,74.20728,2.19,0.78,1.64,1.37,0.052,0.047,11.84,0.537,4.14,3.13,0.50,indeterminate
105120,31.43783,74.20828,2.29,0.80,1.74,1.40,0.058,0.051,11.95,0.548,4.24,3.33,0.50,indeterminate
105121,31.43783,74.20928,2.53,0.84,1.74,1.43,0.058,0.059,12.07,0.552,4.56,3.54,0.50,indeterminate
105122,31.43783,74.21028,2.52,0.84,1.78,1.43,0.069,0.059,12.06,0.597,4.49,3.65,0.50,indeterminate
105123,31.43783,74.21128,2.63,0.81,1.87,1.38,0.076,0.066,11.81,0.615,4.63,3.73,0.50,indeterminate
105124,31.43783,74.21228,2.58,0.74,1.93,1.28,0.081,0.069,11.39,0.654,4.47,3.76,0.50,indeterminate
105125,31.43783,74.21328,2.72,0.71,1.98,1.23,0.084,0.080,11.13,0.714,4.59,3.92,0.50,indeterminate
105126,31.43783,74.21428,2.66,0.72,2.03,1.26,0.084,0.076,11.21,0.670,4.51,3.93,0.50,indeterminate
105127,31.43783,74.21528,2.27,0.79,2.13,1.34,0.096,0.057,11.60,0.592,4.22,3.64,0.50,indeterminate
105128,31.43783,74.21628,2.11,0.76,2.20,1.30,0.099,0.054,11.40,0.501,4.02,3.54,0.50,indeterminate
105129,31.43783,74.21728,2.20,0.73,2.26,1.25,0.102,0.060,11.18,0.446,4.06,3.69,0.50,indeterminate
105130,31.43783,74.21828,1.60,0.74,2.21,1.26,0.106,0.039,11.27,0.424,3.53,3.02,0.50,indeterminate
105131,31.43783,74.21928,1.43,0.78,2.24,1.30,0.116,0.034,11.45,0.415,3.51,2.86,0.50,indeterminate
105132,31.43783,74.22028,1.60,0.77,2.22,1.28,0.119,0.039,11.35,0.421,3.73,2.95,0.50,indeterminate
105133,31.43783,74.22128,1.27,0.73,2.30,1.22,0.124,0.034,11.11,0.364,3.41,2.61,0.50,indeterminate
105134,31.43783,74.22228,1.35,0.74,2.27,1.25,0.117,0.035,11.14,0.305,3.64,2.51,0.50,indeterminate
105135,31.43783,74.22328,1.38,0.78,2.09,1.31,0.115,0.031,11.42,0.258,3.79,2.34,0.50,indeterminate
105136,31.43783,74.22428,0.81,0.84,2.07,1.40,0.102,0.019,11.74,0.197,3.04,1.95,0.50,elastic_dominant
105137,31.43783,74.22528,0.34,0.88,1.87,1.46,0.101,0.012,12.00,0.264,3.43,0.42,0.50,elastic_dominant
105138,31.43783,74.22628,0.37,0.87,1.82,1.45,0.094,0.012,11.81,0.306,3.82,-0.12,0.50,elastic_dominant
105139,31.43783,74.22728,0.63,0.81,2.06,1.42,0.067,0.018,11.29,0.344,3.29,0.81,0.50,elastic_dominant
105140,31.43783,74.22828,0.52,0.79,1.90,1.41,0.060,0.015,11.17,0.270,3.45,0.29,0.50,elastic_dominant
105141,31.43783,74.22928,-0.32,0.73,1.76,1.37,0.036,0.015,10.89,0.183,2.52,-0.80,0.50,elastic_dominant
105142,31.43783,74.23028,2.30,0.70,2.55,1.21,0.072,0.075,10.53,0.212,2.04,5.80,0.50,indeterminate
105143,31.43783,74.23128,-0.16,0.66,1.49,1.22,0.065,0.011,10.38,0.286,2.21,-0.17,0.50,elastic_dominant
105144,31.43783,74.23228,0.02,0.68,1.75,1.24,0.066,0.014,10.34,0.338,3.10,-0.71,0.50,elastic_dominant
105145,31.43783,74.23328,0.03,0.65,1.96,1.20,0.057,0.018,10.24,0.239,2.14,0.37,0.50,elastic_dominant
105149,31.43783,74.23728,2.63,0.73,2.99,1.25,0.053,0.105,10.06,0.196,2.61,5.56,0.50,indeterminate
105150,31.43783,74.23828,-0.47,0.74,1.83,1.39,0.019,0.019,10.29,0.321,2.41,-1.35,0.50,elastic_dominant
105151,31.43783,74.23928,-0.45,0.79,1.87,1.44,0.016,0.019,10.41,0.437,2.31,-1.16,0.50,elastic_dominant
105152,31.43783,74.24028,0.31,0.79,1.78,1.43,0.017,0.014,10.26,0.456,3.52,-1.01,0.00,elastic_dominant
105153,31.43783,74.24128,0.16,0.77,1.70,1.39,0.021,0.013,10.15,0.414,3.51,-1.29,0.00,elastic_dominant
105154,31.43783,74.24228,0.30,0.76,1.84,1.38,0.022,0.016,10.10,0.330,3.44,-0.91,0.00,elastic_dominant
105155,31.43783,74.24328,-0.05,0.73,1.79,1.32,0.030,0.015,9.97,0.231,2.72,-0.79,0.50,elastic_dominant
105157,31.43783,74.24528,-0.80,0.73,1.27,1.26,0.068,0.019,9.84,0.162,2.15,-1.71,0.50,indeterminate
105158,31.43783,74.24628,1.75,0.84,2.24,1.29,0.080,0.055,9.96,0.189,1.08,5.54,0.50,indeterminate
105159,31.43783,74.24728,-1.35,0.80,0.98,1.29,0.067,0.031,9.98,0.174,1.23,-1.81,0.50,indeterminate
105160,31.43783,74.24828,-0.06,0.71,1.63,1.23,0.072,0.014,9.66,0.231,2.52,-0.33,0.50,elastic_dominant
105161,31.43783,74.24928,-0.04,0.65,1.45,1.15,0.077,0.012,9.41,0.297,2.68,-0.60,0.00,elastic_dominant
105162,31.43783,74.25028,-0.25,0.66,1.37,1.16,0.076,0.012,9.39,0.354,2.16,-0.42,0.00,elastic_dominant
105163,31.43783,74.25128,-0.30,0.70,1.33,1.19,0.084,0.012,9.56,0.523,2.37,-0.67,0.00,elastic_dominant
