pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
28972,28.59706,77.22033,2.91,0.32,1.01,0.99,0.895,0.298,11.62,0.369,2.18,3.29,0.43,indeterminate
28973,28.59706,77.22133,3.23,0.31,1.18,1.01,0.901,0.346,11.61,0.316,2.62,3.55,0.29,indeterminate
28974,28.59706,77.22233,3.46,0.31,1.31,1.02,0.906,0.375,11.65,0.320,2.79,3.82,0.29,indeterminate
28975,28.59706,77.22333,3.30,0.32,1.44,1.06,0.885,0.352,11.72,0.270,2.63,3.66,0.29,indeterminate
28976,28.59706,77.22433,3.12,0.32,1.57,1.08,0.874,0.325,11.83,0.265,2.53,3.45,0.29,indeterminate
28977,28.59706,77.22533,3.60,0.32,1.79,1.09,0.887,0.388,11.88,0.338,2.93,3.99,0.43,indeterminate
28978,28.59706,77.22633,3.84,0.32,1.95,1.11,0.883,0.416,11.96,0.362,3.38,4.12,0.29,indeterminate
28979,28.59706,77.22733,3.57,0.33,1.96,1.13,0.872,0.378,12.06,0.379,3.02,3.89,0.29,indeterminate
28980,28.59706,77.22833,3.63,0.33,1.95,1.12,0.875,0.385,12.10,0.338,3.03,4.01,0.29,indeterminate
28981,28.59706,77.22933,3.24,0.33,1.81,1.14,0.870,0.329,12.21,0.358,2.60,3.63,0.29,indeterminate
28982,28.59706,77.23033,3.49,0.34,1.81,1.14,0.874,0.361,12.25,0.416,2.98,3.83,0.29,indeterminate
28983,28.59706,77.23133,3.48,0.34,1.86,1.15,0.869,0.359,12.25,0.427,2.89,3.87,0.29,indeterminate
28984,28.59706,77.23233,3.16,0.33,1.84,1.15,0.858,0.318,12.21,0.400,2.59,3.51,0.29,indeterminate
28985,28.59706,77.23333,2.58,0.33,1.79,1.14,0.862,0.240,12.21,0.309,2.01,2.94,0.57,indeterminate
28990,28.59706,77.23833,3.07,0.34,1.67,1.11,0.849,0.314,11.98,0.411,2.82,3.25,0.29,indeterminate
28991,28.59706,77.23933,3.50,0.33,1.59,1.09,0.853,0.373,11.90,0.541,3.05,3.79,0.43,indeterminate
28992,28.59706,77.24033,3.30,0.33,1.48,1.07,0.849,0.347,11.80,0.657,2.84,3.57,0.29,indeterminate
28993,28.59706,77.24133,3.25,0.33,1.54,1.08,0.838,0.341,11.79,0.735,2.78,3.52,0.29,indeterminate
28994,28.59706,77.24233,2.92,0.33,1.55,1.09,0.831,0.293,11.87,0.449,2.32,3.27,0.29,indeterminate
28995,28.59706,77.24333,3.01,0.33,1.68,1.11,0.823,0.310,11.79,0.439,2.62,3.24,0.29,indeterminate
